ht_ppg,ht_rpg,ht_apg,ht_spg,ht_bpg,ht_topg,ho_ppg,ho_rpg,ho_apg,ho_spg,ho_bpg,ho_topg,h_ortg,h_drtg,h_efg,h_tov,h_oreb,h_ftf,at_ppg,at_rpg,at_apg,at_spg,at_bpg,at_topg,ao_ppg,ao_rpg,ao_apg,ao_spg,ao_bpg,ao_topg,a_ortg,a_drtg,a_efg,a_tov,a_reb,a_ftf,act_spread,vegas_ou
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.516625,0.1383,0.249342,0.200831,97.3293,44.8537,21.4268,6.1585,4.5732,13.3293,97.0488,42.7317,19.9146,7.5244,4.7073,12.1463,105.764,105.756,0.489921,0.119393,0.230812,0.216096,-11,-10
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.516625,0.1383,0.249342,0.200831,91.8902,40.3659,21.2927,7.0122,4.6585,13.7683,101.207,43.5,21.7439,8.0366,4.3049,13.4024,102.187,112.459,0.502564,0.142134,0.289855,0.217949,-7,-7
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.5,0.136133,0.241206,0.26817,95.1341,43.9634,19.9024,7.5976,5.9634,14.2195,94.9146,39.2317,19.439,8.2195,4.6585,12.561,108.077,106.951,0.496333,0.118881,0.27619,0.190709,-7,-3
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.503695,0.145585,0.292929,0.23399,94.6829,39.122,19.8293,7.8293,4.5366,13.8902,97.2805,40.9878,21.3171,7.878,4.378,14.0732,106.757,109.03,0.496104,0.126354,0.248826,0.202597,-5,-11
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.558025,0.129624,0.274194,0.190123,98.4512,43.8902,20.9146,7.0488,4.4634,12.622,105.293,44.1585,23.9756,7.4512,4.8293,12.4146,105.72,113.23,0.496394,0.106622,0.276995,0.252404,-9,5
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.572127,0.133421,0.278075,0.163814,98.5,44.8902,21.5976,7.5976,4.6707,12.6463,99.5,44.1098,23.7683,6.9756,4.7683,13.3537,107.415,109.205,0.447917,0.112215,0.266667,0.19213,-6,-10
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.561594,0.122836,0.261307,0.207729,103.988,41.5488,20.7439,7.5,4.3537,12.1951,100.915,42.4512,22.8049,6.9146,5.0366,13.7561,113.379,109.959,0.522837,0.116708,0.27551,0.223558,4,11
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.551069,0.121133,0.285714,0.209026,99.3537,43.4512,22.0244,6.7439,6.2195,12.5976,98.561,41.5488,20.7317,6.7683,5.7927,11.7927,110.593,109.599,0.507614,0.135393,0.292683,0.258883,-3,-9
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.525798,0.131688,0.282178,0.238329,94.1585,44.061,20.1707,6.0854,5.4634,11.1707,97.3293,44.122,22.1341,6.122,5.3659,12.0366,102.462,105.796,0.485472,0.0926875,0.174757,0.200969,-7,-30
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.540302,0.138334,0.260638,0.231738,101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.461197,0.116898,0.230769,0.155211,-7,-4
