ht_ppg,ht_rpg,ht_apg,ht_spg,ht_bpg,ht_topg,ho_ppg,ho_rpg,ho_apg,ho_spg,ho_bpg,ho_topg,h_ortg,h_drtg,h_efg,h_tov,h_oreb,h_ftf,at_ppg,at_rpg,at_apg,at_spg,at_bpg,at_topg,ao_ppg,ao_rpg,ao_apg,ao_spg,ao_bpg,ao_topg,a_ortg,a_drtg,a_efg,a_tov,a_reb,a_ftf,act_spread
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.516625,0.1383,0.249342,0.200831,97.3293,44.8537,21.4268,6.1585,4.5732,13.3293,97.0488,42.7317,19.9146,7.5244,4.7073,12.1463,105.764,105.756,0.489921,0.119393,0.230812,0.216096,-11
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.516625,0.1383,0.249342,0.200831,91.3333,39.5,22.5,6.3333,3.5,13.1667,98.8333,42.6667,20.6667,6.6667,3.6667,13.6667,104.763,114.799,0.502564,0.142134,0.289855,0.217949,-7
101.5,38.8333,24,9.1667,5,14,99.6667,46.1667,26,6.1667,6.3333,15.8333,108.359,105.852,0.5,0.136133,0.241206,0.26817,97.625,41.375,20.5,5.875,4.5,14.25,102.5,39.375,19,7.25,4.5,10.75,111.267,114.236,0.496333,0.118881,0.27619,0.190709,-7
101.286,39.8571,23.8571,9,4.8571,14.5714,99.2857,43.8571,26.2857,7,6.5714,15.1429,109.517,106.034,0.503695,0.145585,0.292929,0.23399,98.75,37.25,23.125,8.75,3.125,13.125,95.75,41.375,19,7.25,5.625,15,112.371,107.524,0.496104,0.126354,0.248826,0.202597,-5
101.889,39.1111,25.1111,8.7778,5.2222,14.7778,102.778,42.8889,27.7778,7.8889,5.6667,14.7778,109.517,110.311,0.558025,0.129624,0.274194,0.190123,101.6,40.8,19.6,7.6,4.1,12.5,112.1,43.4,25.1,6.3,4,13.7,108.4,120.601,0.496394,0.106622,0.276995,0.252404,-9
102.6,39,24.8,8.6,5,14.3,103.9,43,27.4,7.8,5.1,14.4,110.829,111.788,0.572127,0.133421,0.278075,0.163814,92.4167,45.4167,18.25,5.3333,4.3333,12.6667,96.9167,44.4167,22.3333,7.25,4.8333,11.5833,102.119,107.839,0.447917,0.112215,0.266667,0.19213,-6
102.583,39.9167,23.75,9.0833,5.0833,13.5,102.5,43.5,25.9167,7.1667,4.75,14.6667,111.048,110.312,0.561594,0.122836,0.261307,0.207729,106.714,40,19.5,8.5,4.8571,11,95.0714,42.5,22.2143,6.5,4.7857,16.5714,114.795,104.471,0.522837,0.116708,0.27551,0.223558,4
103.538,39.3077,24.3077,8.5385,5,13.4615,104.308,42.9231,25.7692,7.1538,4.9231,14.3846,112.052,112.281,0.551069,0.121133,0.285714,0.209026,102.769,42.3077,21.9231,7.7692,6.5385,10.4615,99.9231,43.9231,19.3077,5.6154,5.1538,13.9231,113.022,110.2,0.507614,0.135393,0.292683,0.258883,-3
103.286,39.5,24.4286,8.3571,5.1429,13.7857,103.357,42.8571,25.5714,7.2143,4.8571,14.2143,112.076,111.648,0.525798,0.131688,0.282178,0.238329,94.7059,41.6471,21.4118,5.5294,4.3529,10.9412,100.882,43.3529,23,5.5294,4.2353,11.8235,103.716,110.444,0.485472,0.0926875,0.174757,0.200969,-7
103.4,39.8,24.8667,8.3333,5.1333,13.6667,101.467,42.5333,25.2,6.9333,4.8,14.0667,112.744,109.787,0.540302,0.138334,0.260638,0.231738,103.357,42.5714,25,7.9286,3.9286,13.7857,107.571,42.5,22.6429,6.4286,5.2143,13.6429,108.171,112.265,0.461197,0.116898,0.230769,0.155211,-7
